marker,total_occurrences,chi2,p_value,cramers_v,significant,class_frequencies,peak_class,peak_frequency,category
分钟,38,30.71778079283707,3.4952037314261072e-06,0.038898799908168157,False,"{'SAME_DAY': 0.0009596928982725527, 'IMMEDIATE_UPDATE': 0.0006687472135532769, 'SHORT_TERM_DEV': 0.0006949270326615705, 'LONG_TERM_DEV': 0.00034340659340659343, 'DISTANT_RELATED': 0.004203507754747065}",DISTANT_RELATED,0.004203507754747065,time_references
报道,46,29.73558719219223,5.540077317444981e-06,0.03827185776009131,False,"{'SAME_DAY': 0.006397952655150352, 'IMMEDIATE_UPDATE': 0.0017833259028087382, 'SHORT_TERM_DEV': 0.0010423905489923557, 'LONG_TERM_DEV': 0.002403846153846154, 'DISTANT_RELATED': 0.0011595883461371214}",SAME_DAY,0.006397952655150352,statement_verbs
周,282,29.468476807988946,6.27837558314537e-06,0.038099574768706096,False,"{'SAME_DAY': 0.014075495841330775, 'IMMEDIATE_UPDATE': 0.013152028533214444, 'SHORT_TERM_DEV': 0.007644197359277276, 'LONG_TERM_DEV': 0.023695054945054944, 'DISTANT_RELATED': 0.012755471807508335}",LONG_TERM_DEV,0.023695054945054944,time_references
最新消息,39,29.336692940715583,6.677920364599281e-06,0.038014288119239195,False,"{'SAME_DAY': 0.005438259756877799, 'IMMEDIATE_UPDATE': 0.001560410164957646, 'SHORT_TERM_DEV': 0.002779708130646282, 'LONG_TERM_DEV': 0.00034340659340659343, 'DISTANT_RELATED': 0.000869691259602841}",SAME_DAY,0.005438259756877799,update_indicators
结果,102,27.832153063329883,1.3488987603060606e-05,0.03702667264466402,False,"{'SAME_DAY': 0.007677543186180422, 'IMMEDIATE_UPDATE': 0.0013374944271065537, 'SHORT_TERM_DEV': 0.0020847810979847115, 'LONG_TERM_DEV': 0.007554945054945055, 'DISTANT_RELATED': 0.006377735903754168}",SAME_DAY,0.007677543186180422,backward_references
否认,220,26.15487585436878,2.944858906826805e-05,0.03589364935548376,False,"{'SAME_DAY': 0.009916826615483045, 'IMMEDIATE_UPDATE': 0.014935354436023182, 'SHORT_TERM_DEV': 0.008686587908269632, 'LONG_TERM_DEV': 0.016483516483516484, 'DISTANT_RELATED': 0.007102478620089868}",LONG_TERM_DEV,0.016483516483516484,negation_denial
紧急,107,24.294702476259996,6.971249928162027e-05,0.03459370493706685,False,"{'SAME_DAY': 0.01055662188099808, 'IMMEDIATE_UPDATE': 0.0057958091841284, 'SHORT_TERM_DEV': 0.002432244614315497, 'LONG_TERM_DEV': 0.005151098901098901, 'DISTANT_RELATED': 0.0037686621249456444}",SAME_DAY,0.01055662188099808,breaking_news
发布,316,24.001404233563214,7.982300979343613e-05,0.03438425429867339,False,"{'SAME_DAY': 0.013755598208573257, 'IMMEDIATE_UPDATE': 0.01961658493089612, 'SHORT_TERM_DEV': 0.007296733842946491, 'LONG_TERM_DEV': 0.020947802197802196, 'DISTANT_RELATED': 0.014929699956515437}",LONG_TERM_DEV,0.020947802197802196,statement_verbs
还在,58,22.40920515536146,0.00016612177792226985,0.03322419833606533,False,"{'SAME_DAY': 0.003838771593090211, 'IMMEDIATE_UPDATE': 0.0057958091841284, 'SHORT_TERM_DEV': 0.0017373175816539264, 'LONG_TERM_DEV': 0.0020604395604395605, 'DISTANT_RELATED': 0.0013045368894042614}",IMMEDIATE_UPDATE,0.0057958091841284,update_indicators
天,1421,21.203255112474263,0.00028859617614165634,0.03231785691069941,False,"{'SAME_DAY': 0.05886116442738324, 'IMMEDIATE_UPDATE': 0.0664288898796255, 'SHORT_TERM_DEV': 0.06045865184155664, 'LONG_TERM_DEV': 0.07451923076923077, 'DISTANT_RELATED': 0.07943180171039281}",DISTANT_RELATED,0.07943180171039281,time_references
之前,11,20.654334162144185,0.0003707572306870783,0.03189678300978472,False,"{'SAME_DAY': 0.0009596928982725527, 'IMMEDIATE_UPDATE': 0.0017833259028087382, 'SHORT_TERM_DEV': 0.0, 'LONG_TERM_DEV': 0.0, 'DISTANT_RELATED': 0.0}",IMMEDIATE_UPDATE,0.0017833259028087382,time_references
驳斥,10,19.815311469227577,0.0005431142630678056,0.031242209191290175,False,"{'SAME_DAY': 0.0, 'IMMEDIATE_UPDATE': 0.0, 'SHORT_TERM_DEV': 0.0, 'LONG_TERM_DEV': 0.0020604395604395605, 'DISTANT_RELATED': 0.0005797941730685607}",LONG_TERM_DEV,0.0020604395604395605,negation_denial
表示,182,19.408246161055395,0.0006532869586055108,0.030919640112320273,False,"{'SAME_DAY': 0.006397952655150352, 'IMMEDIATE_UPDATE': 0.008470798038341507, 'SHORT_TERM_DEV': 0.015635858234885336, 'LONG_TERM_DEV': 0.006181318681318681, 'DISTANT_RELATED': 0.00884186113929555}",SHORT_TERM_DEV,0.015635858234885336,statement_verbs
年,1394,16.848909444357524,0.0020680547560023525,0.02880893359125196,False,"{'SAME_DAY': 0.062060140754958415, 'IMMEDIATE_UPDATE': 0.06531431119037004, 'SHORT_TERM_DEV': 0.06740792216817235, 'LONG_TERM_DEV': 0.059409340659340656, 'DISTANT_RELATED': 0.07827221336425569}",DISTANT_RELATED,0.07827221336425569,time_references
持续,189,16.837038143790195,0.00207905626554711,0.028798782792678834,False,"{'SAME_DAY': 0.01215611004478567, 'IMMEDIATE_UPDATE': 0.010922871154703521, 'SHORT_TERM_DEV': 0.011466296038915913, 'LONG_TERM_DEV': 0.010645604395604396, 'DISTANT_RELATED': 0.005508044644151326}",SAME_DAY,0.01215611004478567,update_indicators
不,2372,16.32704910005405,0.002610290740185065,0.028359275640505128,False,"{'SAME_DAY': 0.1343570057581574, 'IMMEDIATE_UPDATE': 0.11792242532322782, 'SHORT_TERM_DEV': 0.10875608061153579, 'LONG_TERM_DEV': 0.12293956043956043, 'DISTANT_RELATED': 0.1090013045368894}",SAME_DAY,0.1343570057581574,negation_denial
导致,44,15.654094705666385,0.003520237633037581,0.02776868173003019,False,"{'SAME_DAY': 0.0047984644913627635, 'IMMEDIATE_UPDATE': 0.0017833259028087382, 'SHORT_TERM_DEV': 0.0031271716469770676, 'LONG_TERM_DEV': 0.0010302197802197802, 'DISTANT_RELATED': 0.0013045368894042614}",SAME_DAY,0.0047984644913627635,backward_references
突然,50,13.994211945022327,0.00731355173530524,0.026255210703972853,False,"{'SAME_DAY': 0.0006397952655150352, 'IMMEDIATE_UPDATE': 0.0013374944271065537, 'SHORT_TERM_DEV': 0.0017373175816539264, 'LONG_TERM_DEV': 0.0037774725274725275, 'DISTANT_RELATED': 0.0037686621249456444}",LONG_TERM_DEV,0.0037774725274725275,breaking_news
续,490,12.972891290337836,0.011409014311330483,0.025278987421976207,False,"{'SAME_DAY': 0.02143314139475368, 'IMMEDIATE_UPDATE': 0.023851983950066876, 'SHORT_TERM_DEV': 0.031966643502432245, 'LONG_TERM_DEV': 0.027472527472527472, 'DISTANT_RELATED': 0.020872590230468183}",SHORT_TERM_DEV,0.031966643502432245,update_indicators
未,491,12.307577631108886,0.015204760719702127,0.024622240913531896,False,"{'SAME_DAY': 0.02143314139475368, 'IMMEDIATE_UPDATE': 0.02340615247436469, 'SHORT_TERM_DEV': 0.022932592077831826, 'LONG_TERM_DEV': 0.03331043956043956, 'DISTANT_RELATED': 0.022611972749673866}",LONG_TERM_DEV,0.03331043956043956,negation_denial
拒绝,35,11.976140773103849,0.017529573293561775,0.024288446080988887,False,"{'SAME_DAY': 0.0035188739603326936, 'IMMEDIATE_UPDATE': 0.002229157378510923, 'SHORT_TERM_DEV': 0.0020847810979847115, 'LONG_TERM_DEV': 0.00034340659340659343, 'DISTANT_RELATED': 0.0010146398028699811}",SAME_DAY,0.0035188739603326936,negation_denial
刚刚,50,11.905893221324376,0.01806496109170165,0.024217107856972262,False,"{'SAME_DAY': 0.004478566858605247, 'IMMEDIATE_UPDATE': 0.003120820329915292, 'SHORT_TERM_DEV': 0.0031271716469770676, 'LONG_TERM_DEV': 0.001717032967032967, 'DISTANT_RELATED': 0.0011595883461371214}",SAME_DAY,0.004478566858605247,update_indicators
没有,190,11.594616778762623,0.020634689138706346,0.023898436211912275,False,"{'SAME_DAY': 0.007677543186180422, 'IMMEDIATE_UPDATE': 0.010477039679001338, 'SHORT_TERM_DEV': 0.014246004169562195, 'LONG_TERM_DEV': 0.006868131868131868, 'DISTANT_RELATED': 0.00840701550949413}",SHORT_TERM_DEV,0.014246004169562195,negation_denial
确认,75,6.567963083286,0.16055821406152898,0.017986913078151603,False,"{'SAME_DAY': 0.0025591810620601407, 'IMMEDIATE_UPDATE': 0.0028979045920642, 'SHORT_TERM_DEV': 0.004517025712300208, 'LONG_TERM_DEV': 0.002403846153846154, 'DISTANT_RELATED': 0.004928250471082766}",DISTANT_RELATED,0.004928250471082766,statement_verbs
证实,21,5.41513235933907,0.24729074370212709,0.016332242608719447,False,"{'SAME_DAY': 0.0019193857965451055, 'IMMEDIATE_UPDATE': 0.0011145786892554615, 'SHORT_TERM_DEV': 0.0010423905489923557, 'LONG_TERM_DEV': 0.0, 'DISTANT_RELATED': 0.0010146398028699811}",SAME_DAY,0.0019193857965451055,statement_verbs
最新,407,4.812725701590067,0.30705827105612676,0.015397025867861323,False,"{'SAME_DAY': 0.023032629558541268, 'IMMEDIATE_UPDATE': 0.017833259028087384, 'SHORT_TERM_DEV': 0.01667824878387769, 'LONG_TERM_DEV': 0.021634615384615384, 'DISTANT_RELATED': 0.020872590230468183}",SAME_DAY,0.023032629558541268,update_indicators
引发,145,4.559694552152006,0.3355278159933924,0.014986808563607559,False,"{'SAME_DAY': 0.006397952655150352, 'IMMEDIATE_UPDATE': 0.008470798038341507, 'SHORT_TERM_DEV': 0.007644197359277276, 'LONG_TERM_DEV': 0.004464285714285714, 'DISTANT_RELATED': 0.007537324249891289}",IMMEDIATE_UPDATE,0.008470798038341507,backward_references
快讯,20,4.184578173537049,0.38160185994894746,0.014357113282778803,False,"{'SAME_DAY': 0.0009596928982725527, 'IMMEDIATE_UPDATE': 0.0008916629514043691, 'SHORT_TERM_DEV': 0.0006949270326615705, 'LONG_TERM_DEV': 0.0020604395604395605, 'DISTANT_RELATED': 0.0007247427163357008}",LONG_TERM_DEV,0.0020604395604395605,breaking_news
