marker,total_occurrences,chi2,p_value,cramers_v,significant,class_frequencies,peak_class,peak_frequency,category
results,70,47.15527601539026,1.4154745341517558e-09,0.04895745259978291,False,"{'SAME_DAY': 0.0006119951040391676, 'IMMEDIATE_UPDATE': 0.0025266704098820887, 'SHORT_TERM_DEV': 0.0038257798705120657, 'LONG_TERM_DEV': 0.008547008547008548, 'DISTANT_RELATED': 0.0012275586926499924}",LONG_TERM_DEV,0.008547008547008548,backward_references
since,244,42.917438293724445,1.0764197808767954e-08,0.04670577277834755,False,"{'SAME_DAY': 0.0018359853121175031, 'IMMEDIATE_UPDATE': 0.0072992700729927005, 'SHORT_TERM_DEV': 0.011771630370806356, 'LONG_TERM_DEV': 0.011834319526627219, 'DISTANT_RELATED': 0.018566825226331133}",DISTANT_RELATED,0.018566825226331133,backward_references
ahead,59,40.37659084375257,3.617684746911786e-08,0.04530211622495482,False,"{'SAME_DAY': 0.0018359853121175031, 'IMMEDIATE_UPDATE': 0.0, 'SHORT_TERM_DEV': 0.0008828722778104767, 'LONG_TERM_DEV': 0.0026298487836949377, 'DISTANT_RELATED': 0.00629123829983121}",DISTANT_RELATED,0.00629123829983121,time_references
day,256,40.01031644579756,4.307210842306874e-08,0.04509617006496999,False,"{'SAME_DAY': 0.012851897184822521, 'IMMEDIATE_UPDATE': 0.009825940482874789, 'SHORT_TERM_DEV': 0.006180105944673337, 'LONG_TERM_DEV': 0.010957703265395573, 'DISTANT_RELATED': 0.019794383918981126}",DISTANT_RELATED,0.019794383918981126,time_references
months,67,39.52189451396178,5.434715499349251e-08,0.04482007137552591,False,"{'SAME_DAY': 0.0006119951040391676, 'IMMEDIATE_UPDATE': 0.0011229646266142617, 'SHORT_TERM_DEV': 0.0017657445556209534, 'LONG_TERM_DEV': 0.0021915406530791147, 'DISTANT_RELATED': 0.007058462482737456}",DISTANT_RELATED,0.007058462482737456,time_references
alert,64,38.7292640421544,7.923621763166848e-08,0.044368351068129044,False,"{'SAME_DAY': 0.0012239902080783353, 'IMMEDIATE_UPDATE': 0.0008422234699606962, 'SHORT_TERM_DEV': 0.00264861683343143, 'LONG_TERM_DEV': 0.0013149243918474688, 'DISTANT_RELATED': 0.006751572809574957}",DISTANT_RELATED,0.006751572809574957,breaking_news
following,125,37.84326527707569,1.207158463996108e-07,0.04385791358667043,False,"{'SAME_DAY': 0.012239902080783354, 'IMMEDIATE_UPDATE': 0.00673778775968557, 'SHORT_TERM_DEV': 0.009711595055915245, 'LONG_TERM_DEV': 0.007889546351084813, 'DISTANT_RELATED': 0.0018413380389749885}",SAME_DAY,0.012239902080783354,backward_references
flash,21,36.746896111103965,2.0310462758074587e-07,0.043217933534033276,False,"{'SAME_DAY': 0.0, 'IMMEDIATE_UPDATE': 0.0, 'SHORT_TERM_DEV': 0.0, 'LONG_TERM_DEV': 0.00021915406530791147, 'DISTANT_RELATED': 0.003068896731624981}",DISTANT_RELATED,0.003068896731624981,breaking_news
year,277,35.79519169830049,3.1884487461057953e-07,0.04265461366375188,False,"{'SAME_DAY': 0.006731946144430845, 'IMMEDIATE_UPDATE': 0.007580011229646266, 'SHORT_TERM_DEV': 0.011183048852266038, 'LONG_TERM_DEV': 0.020600482138943676, 'DISTANT_RELATED': 0.016418597514193646}",LONG_TERM_DEV,0.020600482138943676,time_references
still,148,33.52309466770625,9.333258237830358e-07,0.0412786721246581,False,"{'SAME_DAY': 0.00795593635250918, 'IMMEDIATE_UPDATE': 0.010387422796181921, 'SHORT_TERM_DEV': 0.005591524426133019, 'LONG_TERM_DEV': 0.0019723865877712033, 'DISTANT_RELATED': 0.010741138560687433}",DISTANT_RELATED,0.010741138560687433,update_indicators
over,734,29.69663292410516,5.642105851167464e-06,0.038851453562788414,False,"{'SAME_DAY': 0.037943696450428395, 'IMMEDIATE_UPDATE': 0.04997192588433464, 'SHORT_TERM_DEV': 0.0429664508534432, 'LONG_TERM_DEV': 0.03155818540433925, 'DISTANT_RELATED': 0.03130274666257481}",IMMEDIATE_UPDATE,0.04997192588433464,completion_markers
hours,35,28.89174165072478,8.223381011187943e-06,0.03832132597039866,False,"{'SAME_DAY': 0.0006119951040391676, 'IMMEDIATE_UPDATE': 0.0025266704098820887, 'SHORT_TERM_DEV': 0.0005885815185403178, 'LONG_TERM_DEV': 0.0043830813061582295, 'DISTANT_RELATED': 0.0004603345097437471}",LONG_TERM_DEV,0.0043830813061582295,time_references
developing,13,27.82737496381798,1.3519086344716037e-05,0.037608826850368426,False,"{'SAME_DAY': 0.0, 'IMMEDIATE_UPDATE': 0.0, 'SHORT_TERM_DEV': 0.0002942907592701589, 'LONG_TERM_DEV': 0.002410694718387026, 'DISTANT_RELATED': 0.00015344483658124905}",LONG_TERM_DEV,0.002410694718387026,update_indicators
further,19,26.58952065147354,2.4062227602320787e-05,0.036762828691770034,False,"{'SAME_DAY': 0.0018359853121175031, 'IMMEDIATE_UPDATE': 0.00028074115665356543, 'SHORT_TERM_DEV': 0.0005885815185403178, 'LONG_TERM_DEV': 0.002849002849002849, 'DISTANT_RELATED': 0.0}",LONG_TERM_DEV,0.002849002849002849,update_indicators
reports,171,26.15542415868116,2.9441090122272544e-05,0.03646150158494114,False,"{'SAME_DAY': 0.00795593635250918, 'IMMEDIATE_UPDATE': 0.008983717012914094, 'SHORT_TERM_DEV': 0.010005885815185403, 'LONG_TERM_DEV': 0.01358755204909051, 'DISTANT_RELATED': 0.004603345097437471}",LONG_TERM_DEV,0.01358755204909051,statement_verbs
response,98,25.380532800483195,4.217928637359121e-05,0.03591732908839857,False,"{'SAME_DAY': 0.00795593635250918, 'IMMEDIATE_UPDATE': 0.009264458169567658, 'SHORT_TERM_DEV': 0.0017657445556209534, 'LONG_TERM_DEV': 0.0035064650449265836, 'DISTANT_RELATED': 0.004603345097437471}",IMMEDIATE_UPDATE,0.009264458169567658,backward_references
not,390,24.53573490225001,6.236400323935272e-05,0.035314511393568136,False,"{'SAME_DAY': 0.025703794369645042, 'IMMEDIATE_UPDATE': 0.028916339135317236, 'SHORT_TERM_DEV': 0.0164802825191289, 'LONG_TERM_DEV': 0.01643655489809336, 'DISTANT_RELATED': 0.01749271137026239}",IMMEDIATE_UPDATE,0.028916339135317236,negation_denial
